,idx,real_data,sim_data,timestep,timeunit,Diff
673,673,3,0,1200.0,10000.0,3
674,674,5,0,1200.0,10000.0,5
675,675,5,0,1200.0,10000.0,5
676,676,5,0,1200.0,10000.0,5
677,677,5,0,1200.0,10000.0,5
678,678,5,1,1200.0,10000.0,4
679,679,5,0,1200.0,10000.0,5
680,680,6,1,1200.0,10000.0,5
681,681,5,2,1200.0,10000.0,3
682,682,5,0,1200.0,10000.0,5
683,683,6,0,1200.0,10000.0,6
684,684,2,0,1200.0,10000.0,2
685,685,5,8,1200.0,10000.0,3
686,686,1,0,1200.0,10000.0,1
687,687,5,0,1200.0,10000.0,5
688,688,5,2,1200.0,10000.0,3
689,689,5,0,1200.0,10000.0,5
690,690,5,2,1200.0,10000.0,3
691,691,6,0,1200.0,10000.0,6
